ticker,date,raw_rows,final_rows,duplicates_removed,dup_pct,crossed_quotes,crossed_quotes_pct,nbbo_coverage_pct,trades_dropped_by_cond,trades_dropped_no_nbbo,unknown_cond_codes,processing_time_seconds,dropped_invalid_price,dropped_invalid_size,dropped_nulls,status,output_path
DAL,10-7-25,191124,6772,74333,38.892551432577804,63,0.5462585623861961,99.98001099395333,13235,4,,16.966726541519165,0,0,0,success,data\clean\DAL\DAL_10-7-25_clean.parquet
DAL,10-3-25,333369,4739,238647,71.58665498788126,21,0.18770110833035394,100.0,8712,0,,17.920732736587524,0,0,0,success,data\clean\DAL\DAL_10-3-25_clean.parquet
DAL,10-6-25,198568,6048,77600,39.080008259177,61,0.5187074829931972,100.0,11330,0,,17.864157676696777,0,0,0,success,data\clean\DAL\DAL_10-6-25_clean.parquet
DECK,10-2-25,44952,2436,10168,22.619683217654387,4,0.08990784445942908,99.82194219969868,4852,13,,10.028384447097778,0,0,0,success,data\clean\DECK\DECK_10-2-25_clean.parquet
DECK,10-3-25,30440,1581,5693,18.702365308804207,5,0.16186468112657817,100.0,3764,0,,6.701670408248901,0,0,0,success,data\clean\DECK\DECK_10-3-25_clean.parquet
DECK,10-8-25,29466,1403,5643,19.150885766646304,4,0.124031007751938,99.9140524280189,3247,4,,8.036264657974243,0,0,0,success,data\clean\DECK\DECK_10-8-25_clean.parquet
DECK,10-7-25,38782,1891,8413,21.693053478417823,6,0.16146393972012918,100.0,4808,0,,8.788180351257324,0,0,0,success,data\clean\DECK\DECK_10-7-25_clean.parquet
DECK,10-6-25,35937,1462,6558,18.2486017196761,0,0.0,100.0,3264,0,,9.19749116897583,0,0,0,success,data\clean\DECK\DECK_10-6-25_clean.parquet
DLTR,10-2-25,65976,4004,17943,27.196253182975628,25,0.5199667221297837,100.0,9361,0,,10.885437488555908,0,0,0,success,data\clean\DLTR\DLTR_10-2-25_clean.parquet
DAL,10-8-25,185674,7388,74714,40.23934422697847,63,0.6060023085802232,99.99497083081876,12495,1,,19.70433235168457,0,0,0,success,data\clean\DAL\DAL_10-8-25_clean.parquet
DLTR,10-6-25,59206,3290,16026,27.06820254703915,34,0.7949497311199439,99.99120569870725,8080,1,,9.770750522613525,0,0,0,success,data\clean\DLTR\DLTR_10-6-25_clean.parquet
DLTR,10-3-25,56830,2316,15298,26.918880872778463,40,0.8376963350785341,99.98762988619495,5767,1,,10.191057682037354,0,0,0,success,data\clean\DLTR\DLTR_10-3-25_clean.parquet
DLTR,10-8-25,62238,4686,17170,27.587647417976157,30,0.778816199376947,100.0,7975,0,,9.26998257637024,0,0,0,success,data\clean\DLTR\DLTR_10-8-25_clean.parquet
DLTR,10-7-25,65629,3354,17894,27.265385728869862,34,0.7150368033648791,100.0,8047,0,,10.73573350906372,0,0,0,success,data\clean\DLTR\DLTR_10-7-25_clean.parquet
